"VCname","DCname","Clustername","Total Physical Memory (GB)","Configured Memory (GB)","Available Memroy (GB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (GB)","Configured Disk Space (GB)","Available Disk Space (GB)","Nr of hosts","Nr of VMs"
"hpvvcs001","Herbert Street","TestRig_H","144.0","102.8","41.2","76736","5288","71448","4006.5","3303.3","703.2","2","99"
"hpvvcs001","Herbert Street","Production_Oasis_H","1823.8","235.4","1588.4","412704","69111","343593","4630.5","1935.8","2694.7","18","123"
"hpvvcs001","Herbert Street","Pre_Prod_H","1151.9","340.7","811.2","220752","11280","209472","6040.0","4242.8","1797.2","6","50"
"hpvvcs001","Herbert Street","Prod_Unsec_H","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","1","0"
"hpvvcs001","Herbert Street","Prod_Sec_H","384.0","110.8","273.2","73584","755","72829","6233.5","3849.5","2384.0","2","7"
"hpvvcs001","Herbert Street","Infra_Serv_H","768.0","224.5","543.4","147168","3937","143231","4518.8","2766.1","1752.6","4","25"
"hpvvcs001","Herbert Street","Non_Prod_H","1343.9","518.4","825.5","257544","31835","225709","10498.5","6222.9","4275.6","7","62"
"hpvvcs001","Herbert Street","Production_Linux_Secured_H","479.9","282.1","197.8","106640","43962","62678","8317.3","5584.5","2732.8","5","42"
"hpvvcs001","Herbert Street","Production_Linux_Secured_Plus_H","576.0","329.6","246.4","159984","48740","111244","2483.3","2045.8","437.5","4","16"
"hpvvcs001","Herbert Street","Production_Windows_Secured_H","1151.9","585.1","566.8","319968","33425","286543","15352.3","12742.8","2609.4","8","83"
"hpvvcs001","Herbert Street","Production_Windows_Unsecured_H","2015.8","1411.1","604.7","516200","151243","364957","48632.3","40353.9","8278.3","14","244"
"hpvvcs001","Herbert Street","Test_Secured_H","288.0","70.2","217.8","153472","26386","127086","6009.8","3772.3","2237.4","4","11"
"hpvvcs001","Herbert Street","Test_Unsecured_H","216.0","78.1","137.9","115104","7569","107535","4006.5","3337.8","668.7","3","26"
