"VCname","DCname","Clustername","Total Physical Memory (GB)","Configured Memory (GB)","Available Memroy (GB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (GB)","Configured Disk Space (GB)","Available Disk Space (GB)","Nr of hosts","Nr of VMs"
"hpvvcs001","Herbert Street","TestRig_H","144.0","102.5","41.5","76736","6198","70538","4006.5","3303.3","703.2","2","99"
"hpvvcs001","Herbert Street","Production_Oasis_H","1823.8","235.4","1588.4","412704","57816","354888","4630.5","1935.8","2694.7","18","123"
"hpvvcs001","Herbert Street","Pre_Prod_H","1151.9","341.3","810.6","220752","7588","213164","6040.0","4242.8","1797.2","6","50"
"hpvvcs001","Herbert Street","Prod_Unsec_H","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
"hpvvcs001","Herbert Street","Prod_Sec_H","384.0","119.2","264.8","73584","1576","72008","6233.5","3849.5","2384.0","2","7"
"hpvvcs001","Herbert Street","Infra_Serv_H","768.0","224.5","543.4","147168","3955","143213","4518.8","2766.1","1752.6","4","25"
"hpvvcs001","Herbert Street","Non_Prod_H","1343.9","518.4","825.5","257544","37737","219807","10498.5","6222.9","4275.6","7","62"
"hpvvcs001","Herbert Street","SAP_Prod_Citrix_H","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
"hpvvcs001","Herbert Street","Production_Linux_Secured_H","479.9","282.3","197.6","106640","39368","67272","8317.3","5584.5","2732.8","5","42"
"hpvvcs001","Herbert Street","Production_Linux_Secured_Plus_H","576.0","329.6","246.4","159984","25054","134930","2483.3","2045.8","437.5","4","16"
"hpvvcs001","Herbert Street","Production_Windows_Secured_H","1151.9","581.3","570.6","319968","36199","283769","15352.3","12742.8","2609.4","8","83"
"hpvvcs001","Herbert Street","Production_Windows_Unsecured_H","2015.8","1416.6","599.2","516200","135371","380829","48632.3","40353.9","8278.3","14","244"
"hpvvcs001","Herbert Street","Test_Secured_H","288.0","70.1","217.9","153472","21186","132286","6009.8","3772.3","2237.4","4","11"
"hpvvcs001","Herbert Street","Test_Unsecured_H","216.0","77.2","138.8","115104","4837","110267","4006.5","3337.8","668.7","3","26"
