"VCname","DCname","Clustername","Total Physical Memory (GB)","Configured Memory (GB)","Available Memroy (GB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (GB)","Configured Disk Space (GB)","Available Disk Space (GB)","Nr of hosts","Nr of VMs"
"upvvcs001","Ultimo","Production_Windows_Unsecured_1_U","2015.8","1409.2","606.7","559944","74205","485739","48172.8","34102.6","14070.2","14","93"
"upvvcs001","Ultimo","Production_Windows_Secured_U","1055.9","649.2","406.7","282632","43213","239419","18172.8","15720.4","2452.4","8","67"
"upvvcs001","Ultimo","Test_Unsecured_U","1151.9","801.0","350.9","255936","33630","222306","33381.3","30770.9","2610.3","12","240"
"upvvcs001","Ultimo","Production_Linux_Secured_U","863.9","258.8","605.1","239976","17936","222040","9981.3","5535.2","4446.1","6","24"
"upvvcs001","Ultimo","Test_Secured_U","1439.8","973.1","466.8","319920","50563","269357","32996.8","30433.1","2563.6","15","212"
"upvvcs001","Ultimo","L4L","431.9","219.5","212.4","182376","11347","171029","4341.5","3405.9","935.6","9","19"
"upvvcs001","Ultimo","Test_Secured_Plus_U","192.0","68.1","123.9","42656","1844","40812","32996.8","30433.1","2563.6","2","4"
"upvvcs001","Ultimo","LMBR_NonProd_V5_U","1055.9","690.4","365.5","234608","26503","208105","10652.3","9408.2","1244.0","11","93"
"upvvcs001","Ultimo","Production_Oasis_U","1343.8","186.9","1157.0","298592","84657","213935","5142.0","2624.1","2517.9","14","136"
"upvvcs001","Ultimo","Production_Windows_Unsecured_2_U","1247.9","723.7","524.2","313560","35275","278285","18661.3","15924.1","2737.1","8","85"
"upvvcs001","Ultimo","Prod_Sec_U","1919.9","857.0","1062.9","367920","23547","344373","9806.0","8530.0","1276.0","10","89"
"upvvcs001","Ultimo","Pre_Prod_U","768.0","403.0","365.0","147168","4408","142760","5011.5","3595.4","1416.1","4","37"
"upvvcs001","Ultimo","Infra_Serv_U","1535.9","214.4","1321.5","294336","4239","290097","4038.0","3087.0","951.0","8","25"
"upvvcs001","Ultimo","Non_Prod_U","1343.9","651.3","692.6","257544","22998","234546","9180.0","6440.9","2739.1","7","70"
"upvvcs001","Ultimo","Prod_Unsec_U","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
"upvvcs001","Ultimo","Prod_Citrix_SAP_U","1343.8","308.3","1035.5","298592","8514","290078","5015.8","4162.8","853.0","14","88"
"upvvcs001","Ultimo","Test_Citrix_SAP_U","239.9","147.3","92.6","101320","4811","96509","3509.5","2779.7","729.8","5","54"
"upvvcs001","Ultimo","LMBR1_SAP_Pre_Prod_U","192.0","76.8","115.1","81056","3359","77697","2999.3","1283.4","1715.9","4","8"
"hpvvcs001","Herbert Street","TestRig_H","144.0","99.7","44.3","76736","5229","71507","4006.5","3329.8","676.8","2","100"
"hpvvcs001","Herbert Street","Production_Oasis_H","1439.8","216.2","1223.7","339120","74650","264470","4630.5","1943.4","2687.1","16","123"
"hpvvcs001","Herbert Street","Pre_Prod_H","1151.9","377.0","774.9","220752","10388","210364","7194.0","5946.3","1247.7","6","72"
"hpvvcs001","Herbert Street","Prod_Unsec_H","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
"hpvvcs001","Herbert Street","Prod_Sec_H","768.0","200.7","567.2","147168","1768","145400","7627.5","5096.6","2530.9","4","10"
"hpvvcs001","Herbert Street","Infra_Serv_H","959.9","250.2","709.7","183960","11632","172328","4518.8","3338.4","1180.4","5","29"
"hpvvcs001","Herbert Street","Non_Prod_H","1727.9","530.2","1197.7","331128","20161","310967","10498.5","6239.1","4259.4","9","62"
"hpvvcs001","Herbert Street","Prod_Citrix_SAP_H","1343.8","319.9","1024.0","298592","9413","289179","6009.8","3918.0","2091.8","14","88"
"hpvvcs001","Herbert Street","Production_Linux_Secured_H","479.9","282.9","197.0","106640","30967","75673","8317.3","5884.4","2432.8","5","42"
"hpvvcs001","Herbert Street","Production_Linux_Secured_Plus_H","576.0","327.9","248.1","159984","50466","109518","2483.3","2045.8","437.5","4","16"
"hpvvcs001","Herbert Street","Production_Windows_Secured_H","1151.9","625.2","526.8","319968","49794","270174","15352.3","12943.3","2409.0","8","83"
"hpvvcs001","Herbert Street","Production_Windows_Unsecured_H","2015.8","1412.8","603.0","516200","178916","337284","48632.3","40757.2","7875.1","14","248"
"hpvvcs001","Herbert Street","Test_Secured_H","288.0","70.6","217.4","153472","21251","132221","6009.8","3772.3","2237.5","4","11"
"hpvvcs001","Herbert Street","Prod_Unsec_2_H","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
"hpvvcs001","Herbert Street","Test_Unsecured_H","216.0","89.6","126.3","115104","6195","108909","4006.5","3337.7","668.8","3","26"
