"Hostname","Cluster","version","Build","manufacture","Model","cpu_model","core_num","totalmemoryMB","P_nic"
"utvlr10.unixu.mgmt.det","SAP_U_Loadrunner","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","4"
"hvsap08.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","4"
"hvsap11.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","5"
"hvsap03.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","4"
"hvsap06.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","4"
"hvsap07.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","4"
"hvsap04.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","4"
"hvsap05.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","5"
"hvsap12.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","40949.109375","5"
"hvsap10.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","4"
"hvsap09.corpserv.mgmt.det","SAP_Production_H","4.0.0","504850","IBM","IBM System x -[7870B4M]-","Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz","8","49141.109375","4"
