"VM","Cluster","Host","IP","NIC","Operating System","CPU","Memory(GB)","Hard Disk","VMConfigFile","VMDKpath","VMDK Size"
"curie","Test_Unsecured_H","htvu01.unix.mgmt.det","153.107.35.99,fe80::250:56ff:fea5:6210,192.168.11.32,fe80::250:56ff:fea5:6211","2","Red Hat Enterprise Linux 6 (64-bit)","2","4","Hard disk 1","[ds_94] curie/netacct05.vmx","[ds_94] curie/netacct05.vmdk","0.125"
"curie","Test_Unsecured_H","htvu01.unix.mgmt.det","153.107.35.99,fe80::250:56ff:fea5:6210,192.168.11.32,fe80::250:56ff:fea5:6211","2","Red Hat Enterprise Linux 6 (64-bit)","2","4","Hard disk 2","[ds_94] curie/netacct05.vmx","[ds_94] curie/netacct05_1.vmdk","16"
"curie","Test_Unsecured_H","htvu01.unix.mgmt.det","153.107.35.99,fe80::250:56ff:fea5:6210,192.168.11.32,fe80::250:56ff:fea5:6211","2","Red Hat Enterprise Linux 6 (64-bit)","2","4","Hard disk 3","[ds_94] curie/netacct05.vmx","[ds_94] curie/netacct05_2.vmdk","100"
"hcvdbsql001","Test_Unsecured_H","htvu02.unix.mgmt.det","192.168.14.79,153.107.26.27","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[ds_94] hcvdbsql001/hcvdbsql001.vmx","[ds_94] hcvdbsql001/hcvdbsql001.vmdk","40"
"hcvdbsql001","Test_Unsecured_H","htvu02.unix.mgmt.det","192.168.14.79,153.107.26.27","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 2","[ds_94] hcvdbsql001/hcvdbsql001.vmx","[ds_94] hcvdbsql001/hcvdbsql001_1.vmdk","120"
"hcvdbsql002","Test_Unsecured_H","htvu01.unix.mgmt.det","192.168.14.80,153.107.26.28","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[ds_94] hcvdbsql002/hcvdbsql002.vmx","[ds_94] hcvdbsql002/hcvdbsql002.vmdk","40"
"hcvdbsql002","Test_Unsecured_H","htvu01.unix.mgmt.det","192.168.14.80,153.107.26.28","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 2","[ds_94] hcvdbsql002/hcvdbsql002.vmx","[ds_94] hcvdbsql002/hcvdbsql002_1.vmdk","120"
"hcvebapp101","Test_Unsecured_H","htvu02.unix.mgmt.det","153.107.26.80,192.168.26.182","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 1","[ds_93] hcvebapp101/hcvebapp101.vmx","[ds_93] hcvebapp101/hcvebapp101.vmdk","50"
"hcvebapp101","Test_Unsecured_H","htvu02.unix.mgmt.det","153.107.26.80,192.168.26.182","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 2","[ds_93] hcvebapp101/hcvebapp101.vmx","[ds_93] hcvebapp101/hcvebapp101_1.vmdk","20"
"hcvebmed101","Test_Unsecured_H","htvu01.unix.mgmt.det","192.168.27.84,153.107.26.25","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 1","[ds_93] hcvebmed101/hcvebmed101.vmx","[ds_93] hcvebmed101/hcvebmed101.vmdk","50"
"hcvebmed101","Test_Unsecured_H","htvu01.unix.mgmt.det","192.168.27.84,153.107.26.25","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 2","[ds_93] hcvebmed101/hcvebmed101.vmx","[ds_93] hcvebmed101/hcvebmed101_1.vmdk","30"
"hcvebsql101","Test_Unsecured_H","htvu01.unix.mgmt.det","153.107.26.81,192.168.26.183","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 1","[ds_93] hcvebsql101/hcvebsql101.vmx","[ds_93] hcvebsql101/hcvebsql101.vmdk","50"
"hcvebsql101","Test_Unsecured_H","htvu01.unix.mgmt.det","153.107.26.81,192.168.26.183","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 2","[ds_93] hcvebsql101/hcvebsql101.vmx","[ds_93] hcvebsql101/hcvebsql101_1.vmdk","200"
"hcvebsql101","Test_Unsecured_H","htvu01.unix.mgmt.det","153.107.26.81,192.168.26.183","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 3","[ds_93] hcvebsql101/hcvebsql101.vmx","[ds_93] hcvebsql101/hcvebsql101_2.vmdk","40"
"hcvebwfe101","Test_Unsecured_H","htvu02.unix.mgmt.det","153.107.26.82,192.168.26.184","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 1","[ds_93] hcvebwfe101/hcvebwfe101.vmx","[ds_93] hcvebwfe101/hcvebwfe101.vmdk","50"
"hcvebwfe101","Test_Unsecured_H","htvu02.unix.mgmt.det","153.107.26.82,192.168.26.184","2","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 2","[ds_93] hcvebwfe101/hcvebwfe101.vmx","[ds_93] hcvebwfe101/hcvebwfe101_1.vmdk","20"
"hpvvin001","Test_Unsecured_H","htvu01.unix.mgmt.det","192.168.16.193","1","Novell SUSE Linux Enterprise 11 (64-bit)","2","4","Hard disk 1","[ds_94] hpvvin001/hpvvin001.vmx","[ds_94] hpvvin001/hpvvin001.vmdk","20"
