"VM","Cluster","Host","IP","NIC","Operating System","CPU","Memory(GB)","Hard Disk","VMConfigFile","VMDKpath","VMDK Size"
"hpvlmdbs001","SAP_Production_H","hvsap03.corpserv.mgmt.det","192.168.19.143,153.107.62.82","2","Microsoft Windows Server 2003, Standard Edition (64-bit)","2","4","Hard disk 1","[datastore_167] hpvlmdbs001/hpvlmdbs001.vmx","[datastore_167] hpvlmdbs001/hpvlmdbs001.vmdk","30"
"hpvlmdbs001","SAP_Production_H","hvsap03.corpserv.mgmt.det","192.168.19.143,153.107.62.82","2","Microsoft Windows Server 2003, Standard Edition (64-bit)","2","4","Hard disk 2","[datastore_167] hpvlmdbs001/hpvlmdbs001.vmx","[datastore_167] hpvlmdbs001/hpvlmdbs001_1.vmdk","0"
"hpvlmppk001","SAP_Production_H","hvsap03.corpserv.mgmt.det","192.168.19.122,153.107.62.72","2","Microsoft Windows Server 2003, Enterprise Edition (32-bit)","2","6","Hard disk 1","[datastore_167] hpvlmppk001/hpvlmppk001.vmx","[datastore_167] hpvlmppk001/hpvlmppk001.vmdk","30"
"hpvlmppk001","SAP_Production_H","hvsap03.corpserv.mgmt.det","192.168.19.122,153.107.62.72","2","Microsoft Windows Server 2003, Enterprise Edition (32-bit)","2","6","Hard disk 2","[datastore_167] hpvlmppk001/hpvlmppk001.vmx","[datastore_167] hpvlmppk001/hpvlmppk001_1.vmdk","100"
"uc-sap-as17","SAP_Production_H","hvsap03.corpserv.mgmt.det","","2",,"2","4","Hard disk 1","[datastore_LMBR_CNB_8] uc-sap-as17/uc-sap-as17.vmx","[datastore_LMBR_CNB_8] uc-sap-as17/uc-sap-as17.vmdk","0.125"
"uc-sap-as17","SAP_Production_H","hvsap03.corpserv.mgmt.det","","2",,"2","4","Hard disk 2","[datastore_LMBR_CNB_8] uc-sap-as17/uc-sap-as17.vmx","[datastore_LMBR_CNB_8] uc-sap-as17/uc-sap-as17_1.vmdk","16"
"uc-sap-as17","SAP_Production_H","hvsap03.corpserv.mgmt.det","","2",,"2","4","Hard disk 3","[datastore_LMBR_CNB_8] uc-sap-as17/uc-sap-as17.vmx","[datastore_LMBR_CNB_8] uc-sap-as17/uc-sap-as17_2.vmdk","64"
"up-smp-c01","SAP_Production_H","hvsap03.corpserv.mgmt.det","","2","Red Hat Enterprise Linux 5 (64-bit)","2","12","Hard disk 1","[datastore_SRM_170] up-smp-c01/up-smp-c01.vmx","[datastore_SRM_170] up-smp-c01/up-smp-c01.vmdk","0.125"
"up-smp-c01","SAP_Production_H","hvsap03.corpserv.mgmt.det","","2","Red Hat Enterprise Linux 5 (64-bit)","2","12","Hard disk 2","[datastore_SRM_170] up-smp-c01/up-smp-c01.vmx","[datastore_SRM_170] up-smp-c01/up-smp-c01_1.vmdk","14"
"up-smp-c01","SAP_Production_H","hvsap03.corpserv.mgmt.det","","2","Red Hat Enterprise Linux 5 (64-bit)","2","12","Hard disk 3","[datastore_SRM_170] up-smp-c01/up-smp-c01.vmx","[datastore_SRM_170] up-smp-c01/up-smp-c01_2.vmdk","51"
"up-smp-d01","SAP_Production_H","hvsap05.corpserv.mgmt.det","","2","Red Hat Enterprise Linux 5 (64-bit)","2","12","Hard disk 1","[datastore_169] up-smp-d01/up-smp-d01.vmx","[datastore_169] up-smp-d01/up-smp-d01.vmdk","0.125"
"up-smp-d01","SAP_Production_H","hvsap05.corpserv.mgmt.det","","2","Red Hat Enterprise Linux 5 (64-bit)","2","12","Hard disk 2","[datastore_169] up-smp-d01/up-smp-d01.vmx","[datastore_169] up-smp-d01/up-smp-d01_1.vmdk","14"
"up-smp-d01","SAP_Production_H","hvsap05.corpserv.mgmt.det","","2","Red Hat Enterprise Linux 5 (64-bit)","2","12","Hard disk 3","[datastore_169] up-smp-d01/up-smp-d01.vmx","[datastore_169] up-smp-d01/up-smp-d01_2.vmdk","51"
"up-ssm-c01","SAP_Production_H","hvsap05.corpserv.mgmt.det","153.107.62.54,fe80::250:56ff:fe8b:19db,192.168.19.107,fe80::250:56ff:fe8b:2c39","2","Red Hat Enterprise Linux 5 (64-bit)","2","12","Hard disk 1","[datastore_SRM_171] up-ssm-c01/up-ssm-c01.vmx","[datastore_SRM_171] up-ssm-c01/up-ssm-c01.vmdk","89"
"up-ssm-d01","SAP_Production_H","hvsap04.corpserv.mgmt.det","153.107.62.71,fe80::250:56ff:fe8b:5123,192.168.16.239,fe80::250:56ff:fe8b:5a3e","2","Red Hat Enterprise Linux 5 (64-bit)","2","12","Hard disk 1","[datastore_167] up-ssm-d01/up-ssm-d01.vmx","[datastore_167] up-ssm-d01/up-ssm-d01.vmdk","89"
"up-str-c01","SAP_Production_H","hvsap03.corpserv.mgmt.det","153.107.62.57,fe80::250:56ff:fe8b:4271,192.168.19.109,fe80::250:56ff:fe8b:29a9","2","Red Hat Enterprise Linux 5 (64-bit)","1","6","Hard disk 1","[datastore_SRM_171] up-str-c01/up-str-c01.vmx","[datastore_SRM_171] up-str-c01/up-str-c01.vmdk","178"
"up-str-c02","SAP_Production_H","hvsap04.corpserv.mgmt.det","153.107.62.58,fe80::250:56ff:fe8b:34fa,192.168.19.110,fe80::250:56ff:fe8b:32ae","2","Red Hat Enterprise Linux 5 (64-bit)","1","6","Hard disk 1","[datastore_SRM_170] up-str-c02/up-str-c02.vmx","[datastore_SRM_170] up-str-c02/up-str-c02.vmdk","178"
"ut-str-c01","SAP_Production_H","hvsap04.corpserv.mgmt.det","","2",,"1","6","Hard disk 1","[datastore_SRM_171] ut-str-c01/ut-str-c01.vmx","[datastore_SRM_171] ut-str-c01/ut-str-c01.vmdk","79"
