"VCname","DCname","Clustername","Total Physical Memory (GB)","Configured Memory (GB)","Available Memroy (GB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (GB)","Configured Disk Space (GB)","Available Disk Space (GB)","Nr of hosts","Nr of VMs"
"hpvvcs001","Herbert Street","TestRig_H","144.0","102.5","41.5","76736","5805","70931","4006.5","3303.3","703.2","2","99"
"hpvvcs001","Herbert Street","Production_Oasis_H","1823.8","235.4","1588.4","412704","37639","375065","4630.5","1935.8","2694.7","18","123"
"hpvvcs001","Herbert Street","Pre_Prod_H","1151.9","341.6","810.3","220752","7052","213700","6040.0","4242.8","1797.2","6","50"
"hpvvcs001","Herbert Street","Prod_Unsec_H","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
"hpvvcs001","Herbert Street","Prod_Sec_H","384.0","120.9","263.1","73584","804","72780","6233.5","3849.5","2384.0","2","7"
"hpvvcs001","Herbert Street","Infra_Serv_H","768.0","224.5","543.4","147168","3946","143222","4518.8","2766.1","1752.6","4","25"
"hpvvcs001","Herbert Street","Non_Prod_H","1343.9","518.4","825.5","257544","33879","223665","10498.5","6222.9","4275.6","7","62"
"hpvvcs001","Herbert Street","SAP_Prod_Citrix_H","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
"hpvvcs001","Herbert Street","Production_Linux_Secured_H","479.9","282.0","198.0","106640","34856","71784","8317.3","5584.5","2732.8","5","42"
"hpvvcs001","Herbert Street","Production_Linux_Secured_Plus_H","576.0","329.6","246.4","159984","27999","131985","2483.3","2045.8","437.5","4","16"
"hpvvcs001","Herbert Street","Production_Windows_Secured_H","1151.9","588.1","563.8","319968","31870","288098","15352.3","12742.8","2609.4","8","83"
"hpvvcs001","Herbert Street","Production_Windows_Unsecured_H","2015.8","1416.8","599.1","516200","153547","362653","48632.3","40353.9","8278.3","14","244"
"hpvvcs001","Herbert Street","Test_Secured_H","288.0","70.1","217.9","153472","23955","129517","6009.8","3772.3","2237.4","4","11"
"hpvvcs001","Herbert Street","Test_Unsecured_H","216.0","78.7","137.3","115104","4401","110703","4006.5","3337.8","668.7","3","26"
