"VCname","DCname","Clustername","Total Physical Memory (GB)","Configured Memory (GB)","Available Memroy (GB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (GB)","Configured Disk Space (GB)","Available Disk Space (GB)","Nr of hosts","Nr of VMs"
"hpvvcs001","Herbert Street","TestRig_H","144.0","102.8","41.2","76736","5481","71255","4006.5","3303.3","703.2","2","99"
"hpvvcs001","Herbert Street","Production_Oasis_H","1823.8","235.4","1588.4","412704","71514","341190","4630.5","1935.8","2694.7","18","123"
"hpvvcs001","Herbert Street","Pre_Prod_H","1151.9","341.1","810.8","220752","7876","212876","6040.0","4242.8","1797.2","6","50"
"hpvvcs001","Herbert Street","Prod_Unsec_H","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
"hpvvcs001","Herbert Street","Prod_Sec_H","384.0","117.6","266.4","73584","5634","67950","6233.5","3849.5","2384.0","2","7"
"hpvvcs001","Herbert Street","Infra_Serv_H","768.0","224.5","543.4","147168","3973","143195","4518.8","2766.1","1752.6","4","25"
"hpvvcs001","Herbert Street","Non_Prod_H","1343.9","518.4","825.5","257544","32982","224562","10498.5","6222.9","4275.6","7","62"
"hpvvcs001","Herbert Street","Production_Linux_Secured_H","479.9","281.9","198.0","106640","40502","66138","8317.3","5584.5","2732.8","5","42"
"hpvvcs001","Herbert Street","Production_Linux_Secured_Plus_H","576.0","329.6","246.4","159984","46608","113376","2483.3","2045.8","437.5","4","16"
"hpvvcs001","Herbert Street","Production_Windows_Secured_H","1151.9","583.7","568.2","319968","30366","289602","15352.3","12742.8","2609.4","8","83"
"hpvvcs001","Herbert Street","Production_Windows_Unsecured_H","2015.8","1412.2","603.7","516200","193461","322739","48632.3","40353.9","8278.3","14","244"
"hpvvcs001","Herbert Street","Test_Secured_H","288.0","70.0","217.9","153472","19871","133601","6009.8","3772.3","2237.4","4","11"
"hpvvcs001","Herbert Street","Test_Unsecured_H","216.0","77.5","138.5","115104","4359","110745","4006.5","3337.8","668.7","3","26"
"upvvcs001","Ultimo","Production_Windows_Unsecured_1_U","2015.8","1526.5","489.3","559944","102614","457330","42173.0","34103.7","8069.3","14","93"
"upvvcs001","Ultimo","Production_Windows_Secured_U","1055.9","676.8","379.1","282632","22807","259825","18172.8","13516.3","4656.4","8","67"
"upvvcs001","Ultimo","Test_Unsecured_U","1151.9","851.0","300.9","255936","49474","206462","33381.3","30513.0","2868.3","12","239"
"upvvcs001","Ultimo","Production_Linux_Secured_U","863.9","253.4","610.5","239976","19462","220514","12819.5","4838.5","7981.0","6","24"
"upvvcs001","Ultimo","Test_Secured_U","1439.8","1059.3","380.5","319920","50459","269461","32996.8","30127.5","2869.2","15","209"
"upvvcs001","Ultimo","L4L","431.9","230.1","201.8","182376","12272","170104","7540.5","2985.1","4555.4","9","19"
"upvvcs001","Ultimo","Test_Secured_Plus_U","192.0","68.0","124.0","42656","1275","41381","32996.8","30127.5","2869.2","2","4"
"upvvcs001","Ultimo","LMBR_NonProd_V5_U","1055.9","786.1","269.7","234608","14592","220016","23650.5","8609.9","15040.6","11","86"
"upvvcs001","Ultimo","Production_Oasis_U","1343.8","188.8","1155.1","298592","68393","230199","6641.5","2622.2","4019.3","14","137"
"upvvcs001","Ultimo","Production_Windows_Unsecured_2_U","1247.9","654.2","593.7","313560","42673","270887","18661.3","15739.7","2921.5","8","82"
"upvvcs001","Ultimo","Prod_Sec_U","1919.9","746.3","1173.6","367920","16873","351047","8797.0","6496.7","2300.3","10","72"
"upvvcs001","Ultimo","Pre_Prod_U","768.0","189.2","578.7","147168","1362","145806","5502.3","2237.2","3265.0","4","26"
"upvvcs001","Ultimo","Infra_Serv_U","768.0","170.2","597.7","147168","2924","144244","4038.0","2514.8","1523.2","4","23"
"upvvcs001","Ultimo","Non_Prod_U","1343.9","525.3","818.6","257544","6195","251349","15840.3","5676.4","10163.8","7","62"
"upvvcs001","Ultimo","Prod_Unsec_U","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
