NameVM,Created,Service,Managed By,System Owner,Notes
up-ser-d01,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ser-d02,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ser-d03,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ser-d04,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ser-d05,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ser-d06,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-sgr-d01,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-spi-d01,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ssr-d01,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ssr-d02,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
up-ssr-d03,9/11/2012,SAP Application Server,Linux,Linux,IP-680 Production application servers for the brown SAP 2 environment
