"Hostname","Cluster","version","Build","manufacture","Model","cpu_model","core_num","totalmemoryMB","P_nic"
"bkesx3.blacktowns.det.nsw.edu.au","Production_Blacktown","5.0.0","623860","HP","ProLiant DL380p Gen8","Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz","16","98269.375","10"
"bkesx4.blacktowns.det.nsw.edu.au","Production_Blacktown","5.0.0","623860","HP","ProLiant DL380p Gen8","Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz","16","98269.375","10"
"bpesx3.bridgests.det.nsw.edu.au","Production_Bridge","5.0.0","623860","HP","ProLiant DL380p Gen8","Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz","16","98269.375","10"
"bpesx4.bridgests.det.nsw.edu.au","Production_Bridge","5.0.0","623860","HP","ProLiant DL380p Gen8","Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz","16","98269.375","10"
"caesx1.itd.det.nsw.edu.au","Central Ave","4.0.0","208167","HP","ProLiant DL360 G7","Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz","12","110582.18359375","8"
"caesx2.itd.det.nsw.edu.au","Central Ave","4.0.0","208167","HP","ProLiant DL360 G7","Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz","12","110582.18359375","8"
"opesx3.oxford.det.nsw.edu.au","Production_Oxford","5.0.0","623860","HP","ProLiant DL380p Gen8","Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz","16","98269.375","6"
"opesx4.oxford.det.nsw.edu.au","Production_Oxford","5.0.0","623860","HP","ProLiant DL380p Gen8","Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz","16","98269.375","10"
"ppesx2.parramattassc.det.nsw.edu.au","Parramatta_SSC","4.0.0","208167","Hewlett-Packard","ProLiant DL360 G6","Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz","8","24566.24609375","6"
"ppesx1.parramattassc.det.nsw.edu.au","Parramatta_SSC","4.0.0","208167","Hewlett-Packard","ProLiant DL360 G6","Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz","8","24566.24609375","6"
