"VM","Cluster","Host","IP","NIC","Operating System","CPU","Memory(GB)","Hard Disk","VMConfigFile","VMDKpath","VMDK Size"
"hdvbausql002","Non_Prod_H","huav09.unix.mgmt.det","192.168.16.11,153.107.26.57","2","Microsoft Windows Server 2008 R2 (64-bit)","4","24","Hard disk 1","[Datastore_lmbr_np_11] hdvbausql002/hdvbausql002.vmx","[Datastore_lmbr_np_11] hdvbausql002/hdvbausql002.vmdk","60"
"hdvbausql002","Non_Prod_H","huav09.unix.mgmt.det","192.168.16.11,153.107.26.57","2","Microsoft Windows Server 2008 R2 (64-bit)","4","24","Hard disk 2","[Datastore_lmbr_np_11] hdvbausql002/hdvbausql002.vmx","[Datastore_lmbr_np_11] hdvbausql002/hdvbausql002_1.vmdk","100"
"hdvbausql002","Non_Prod_H","huav09.unix.mgmt.det","192.168.16.11,153.107.26.57","2","Microsoft Windows Server 2008 R2 (64-bit)","4","24","Hard disk 3","[Datastore_lmbr_np_11] hdvbausql002/hdvbausql002.vmx","[Datastore_lmbr_np_11] hdvbausql002/hdvbausql002_2.vmdk","40"
"hdvbausql002","Non_Prod_H","huav09.unix.mgmt.det","192.168.16.11,153.107.26.57","2","Microsoft Windows Server 2008 R2 (64-bit)","4","24","Hard disk 4","[Datastore_lmbr_np_11] hdvbausql002/hdvbausql002.vmx","[Datastore_lmbr_np_11] hdvbausql002/hdvbausql002_3.vmdk","40"
"hdvduafs001","Non_Prod_H","huav01.unix.mgmt.det","192.168.17.233,153.107.26.138","2","Microsoft Windows Server 2008 R2 (64-bit)","1","4","Hard disk 1","[Datastore_lmbr_np_72] hdvduafs001/hdvduafs001.vmx","[Datastore_lmbr_np_72] hdvduafs001/hdvduafs001.vmdk","40"
"hdvduapp001","Non_Prod_H","huav12.unix.mgmt.det","192.168.16.195,153.107.26.42","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[Datastore_80] hdvduapp001/hdvduapp001.vmx","[Datastore_80] hdvduapp001/hdvduapp001.vmdk","80"
"hdvduapp001","Non_Prod_H","huav12.unix.mgmt.det","192.168.16.195,153.107.26.42","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 2","[Datastore_80] hdvduapp001/hdvduapp001.vmx","[Datastore_80] hdvduapp001/hdvduapp001_1.vmdk","100"
"hdvduapp002","Non_Prod_H","huav02.unix.mgmt.det","192.168.16.196,153.107.26.43","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[Datastore_80] hdvduapp002/hdvduapp002.vmx","[Datastore_80] hdvduapp002/hdvduapp002.vmdk","80"
"hdvduapp002","Non_Prod_H","huav02.unix.mgmt.det","192.168.16.196,153.107.26.43","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 2","[Datastore_80] hdvduapp002/hdvduapp002.vmx","[Datastore_80] hdvduapp002/hdvduapp002_1.vmdk","100"
"hdvdudev001","Non_Prod_H","huav02.unix.mgmt.det","192.168.203.21,10.9.9.21","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[Datastore_lmbr_np_9] hdvdudev001/hdvdudev001.vmx","[Datastore_lmbr_np_9] hdvdudev001/hdvdudev001.vmdk","80"
"hdvdudev001","Non_Prod_H","huav02.unix.mgmt.det","192.168.203.21,10.9.9.21","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 2","[Datastore_lmbr_np_9] hdvdudev001/hdvdudev001.vmx","[Datastore_lmbr_np_9] hdvdudev001/hdvdudev001_1.vmdk","100"
"hdvdudev002","Non_Prod_H","huav01.unix.mgmt.det","192.168.203.22,10.9.9.22","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[Datastore_lmbr_np_36] hdvdudev002/hdvdudev002.vmx","[Datastore_lmbr_np_36] hdvdudev002/hdvdudev002.vmdk","80"
"hdvdudev002","Non_Prod_H","huav01.unix.mgmt.det","192.168.203.22,10.9.9.22","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 2","[Datastore_lmbr_np_36] hdvdudev002/hdvdudev002.vmx","[Datastore_lmbr_np_36] hdvdudev002/hdvdudev002_1.vmdk","100"
"hdvdudev005","Non_Prod_H","huav09.unix.mgmt.det","192.168.203.11,10.9.9.11","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[Datastore_lmbr_np_72] hdvdudev005/hdvdudev005.vmx","[Datastore_lmbr_np_72] hdvdudev005/hdvdudev005.vmdk","80"
"hdvdudev005","Non_Prod_H","huav09.unix.mgmt.det","192.168.203.11,10.9.9.11","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 2","[Datastore_lmbr_np_72] hdvdudev005/hdvdudev005.vmx","[Datastore_lmbr_np_72] hdvdudev005/hdvdudev005_1.vmdk","100"
"hdvdudev006","Non_Prod_H","huav02.unix.mgmt.det","192.168.203.12,10.9.9.12","2","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[Datastore_lmbr_np_72] hdvdudev006/hdvdudev006.vmx","[Datastore_lmbr_np_72] hdvdudev006/hdvdudev006.vmdk","80"
