"VM","Cluster","Host","IP","NIC","Operating System","CPU","Memory(GB)","Hard Disk","VMConfigFile","VMDKpath","VMDK Size"
"0826-S064print","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.73,fe80::84e:4d31:5285:cec4%10","1","Microsoft Windows Server 2008 R2 (64-bit)","2","2","Hard disk 1","[datastore_9] 0826-S064print/0826-S064print.vmx","[datastore_9] 0826-S064print/0826-S064print.vmdk","50"
"bsp2v1","Production_Bridge","bpesx3.bridgests.det.nsw.edu.au","172.30.12.150,172.30.0.74","2","Microsoft Windows Server 2003 Standard (64-bit)","1","1","Hard disk 1","[datastore_1] bsp2v1/bsp2v1.vmx","[datastore_1] bsp2v1/bsp2v1.vmdk","25"
"fpaltiris","Production_Bridge","bpesx4.bridgests.det.nsw.edu.au","172.30.0.25","1","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 1","[datastore_9] fpaltiris/fpaltiris.vmx","[datastore_9] fpaltiris/fpaltiris.vmdk","30"
"fpaltiris","Production_Bridge","bpesx4.bridgests.det.nsw.edu.au","172.30.0.25","1","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 2","[datastore_9] fpaltiris/fpaltiris.vmx","[datastore_9] fpaltiris/fpaltiris_1.vmdk","0"
"fpfprint","Production_Bridge","bpesx2.bridgests.det.nsw.edu.au","172.30.0.6","1","Microsoft Windows Server 2003 (32-bit)","1","2","Hard disk 1","[datastore_1] fpfprint/fpfprint.vmx","[datastore_1] fpfprint/fpfprint.vmdk","20.0122232437134"
"fpfprint","Production_Bridge","bpesx2.bridgests.det.nsw.edu.au","172.30.0.6","1","Microsoft Windows Server 2003 (32-bit)","1","2","Hard disk 2","[datastore_1] fpfprint/fpfprint.vmx","[datastore_1] fpfprint/fpfprint_1.vmdk","0"
"fpfprop","Production_Bridge","bpesx2.bridgests.det.nsw.edu.au","172.30.0.42","1","Microsoft Windows Server 2003 Standard (32-bit)","1","2","Hard disk 1","[datastore_9] fpfprop/fpfprop.vmx","[datastore_9] fpfprop/fpfprop.vmdk","30"
"fpfsql","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","","1",,"2","4","Hard disk 1","[datastore_1] fpfsql/fpfsql.vmx","[datastore_1] fpfsql/fpfsql.vmdk","30"
"fpfsql","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","","1",,"2","4","Hard disk 2","[datastore_1] fpfsql/fpfsql.vmx","[datastore_1] fpfsql/fpfsql_1.vmdk","60"
"fpfutil","Production_Bridge","bpesx2.bridgests.det.nsw.edu.au","","1",,"1","1","Hard disk 1","[datastore_9] fpfutil/fpfutil.vmx","[datastore_9] fpfutil/fpfutil_1.vmdk","30"
"fpfutil","Production_Bridge","bpesx2.bridgests.det.nsw.edu.au","","1",,"1","1","Hard disk 2","[datastore_9] fpfutil/fpfutil.vmx","[datastore_9] fpfutil/fpfutil_2.vmdk","0"
"fppvtm1","Production_Bridge","bpesx2.bridgests.det.nsw.edu.au","172.30.0.82,fe80::1d19:48f4:ce11:9eae%11","1","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 1","[datastore_9] fppvtm1/fppvtm1.vmx","[datastore_9] fppvtm1/fppvtm1.vmdk","30"
"fppvtm1","Production_Bridge","bpesx2.bridgests.det.nsw.edu.au","172.30.0.82,fe80::1d19:48f4:ce11:9eae%11","1","Microsoft Windows Server 2008 R2 (64-bit)","2","8","Hard disk 2","[datastore_9] fppvtm1/fppvtm1.vmx","[datastore_9] fppvtm1/fppvtm1_1.vmdk","10"
"fpv02","Production_Bridge","bpesx3.bridgests.det.nsw.edu.au","172.30.0.62","1","Microsoft Windows Server 2003 (64-bit)","1","2","Hard disk 1","[datastore_1] fpv02/fpv02.vmx","[datastore_1] fpv02/fpv02.vmdk","30"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 1","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata.vmdk","40"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 10","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_8.vmdk","0"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 2","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_11.vmdk","0"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 3","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_10.vmdk","0"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 4","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_12.vmdk","0"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 5","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_3.vmdk","0"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 6","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_4.vmdk","0"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 7","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_5.vmdk","0"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 8","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_6.vmdk","0"
"fpvdata","Production_Bridge","bpesx1.bridgests.det.nsw.edu.au","172.30.0.40","2","Microsoft Windows Server 2003 (64-bit)","2","4","Hard disk 9","[datastore_9] fpvdata/fpvdata.vmx","[datastore_9] fpvdata/fpvdata_7.vmdk","0"
