"VCname","DCname","Clustername","Total Physical Memory (GB)","Configured Memory (GB)","Available Memroy (GB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (GB)","Configured Disk Space (GB)","Available Disk Space (GB)","Nr of hosts","Nr of VMs"
"hpvvcs001","Blacktown","Production_Blacktown","255.9","39.8","216.1","94176","3125","91051","799.5","682.4","117.1","4","13"
"hpvvcs001","Bridge St","Production_Bridge","255.9","30.5","225.4","97376","3520","93856","599.5","437.4","162.1","4","10"
"hpvvcs001","Eveleigh","Central Ave","216.0","25.0","190.9","63984","264","63720","9448.8","7371.1","2077.6","2","3"
"hpvvcs001","Herbert Street","TestRig_H","144.0","79.4","64.6","76736","6879","69857","4498.5","3343.4","1155.1","2","94"
"hpvvcs001","Herbert Street","Production_Oasis_H","1823.8","232.5","1591.3","412704","63832","348872","4512.0","1929.1","2582.9","18","123"
"hpvvcs001","Herbert Street","LMBR_Prod_V5_H","96.0","2.1","93.9","21328","386","20942","0.0","0.0","0.0","1","5"
"hpvvcs001","Herbert Street","Pre_Prod_H","576.0","357.9","218.1","110376","3692","106684","3999.5","3229.6","769.9","3","32"
"hpvvcs001","Herbert Street","Prod_Unsec_H","0.0","0.0","0.0",,,"0","3999.5","3229.6","769.9","0","0"
"hpvvcs001","Herbert Street","Prod_Sec_H","384.0","100.7","283.2","73584","778","72806","3999.5","952.4","3047.1","2","5"
"hpvvcs001","Herbert Street","Infra_Serv_H","384.0","177.3","206.7","73584","2772","70812","4518.8","2483.3","2035.5","2","20"
"hpvvcs001","Herbert Street","Non_Prod_H","959.9","427.6","532.4","183960","16779","167181","9998.5","5669.8","4328.7","5","55"
"hpvvcs001","Herbert Street","Production_Linux_Secured_H","479.9","280.7","199.2","106640","26136","80504","5298.5","3847.1","1451.4","5","42"
"hpvvcs001","Herbert Street","Production_Linux_Secured_Plus_H","576.0","328.0","248.0","159984","42820","117164","6281.8","2048.7","4233.0","4","16"
"hpvvcs001","Herbert Street","Production_Windows_Secured_H","1151.9","453.8","698.1","319968","28854","291114","27050.0","12461.3","14588.7","8","83"
"hpvvcs001","Herbert Street","Production_Windows_Unsecured_H","2015.8","1302.4","713.4","516200","115534","400666","45178.3","37328.8","7849.5","14","238"
"hpvvcs001","Herbert Street","Test_Secured_H","288.0","67.7","220.3","153472","17032","136440","5512.8","3522.3","1990.5","4","11"
"hpvvcs001","Herbert Street","Test_Unsecured_H","216.0","84.0","132.0","115104","8736","106368","3799.3","2924.1","875.1","3","25"
"hpvvcs001","Oxford St","Production_Oxford","239.9","22.7","217.2","97376","3526","93850","399.8","273.0","126.8","4","6"
"hpvvcs001","Parramatta","Parramatta_SSC","48.0","21.6","26.4","42656","856","41800","2790.5","2182.7","607.8","2","6"
